nct_id,title,recruitment_status,sponsor_id,start_date,completion_date
NCT01427946,A Phase 1b/2 Study of Retaspimycin HCl (IPI-504) in Combination With Everolimus in Patients With KRAS Mutant NSCLC,COMPLETED,28,2011-07,2014-06
NCT02354846,An Observational Study on Evaluating the Efficacy and Safety of Preemptive Antiviral Therapy With Tenofovir in HBsAg-positive Patients With Diffuse Large B-cell Lymphoma Receiving Rituximab-CHOP Chemotherapy (SPEED Study),UNKNOWN,29,2015-02,2021-03
NCT07617246,The Efficacy and Safety of Fosrolapitant and Palonosetron Hydrochloride for Injection in Preventing Nausea and Vomiting Caused by Multi-cycle Immunotherapy and Chemotherapy in Patients With Esophageal Cancer and Lung Cancer,RECRUITING,30,2025-11-01,2027-01-31
NCT06539988,Advancing Decisions About Virtual Service Encounters (ADViSE),RECRUITING,31,2026-04-01,2027-09-30
NCT00385788,Allogeneic Stem Cell Transplantation Followed By Adoptive Immunotherapy for Patients With Relapsed and Refractory Hodgkin's Disease,COMPLETED,6,2005-07,2016-08
NCT05107388,AAREN: Continuous Glucose Monitoring Profile Description Under Alpelisib treAtment in Patients With Advanced bREast Cancer,UNKNOWN,32,2021-12,2024-01
NCT04686188,Exploring the Mechanisms and Dynamics of Clonal Evolution Leading to Recurrence in Prostate Cancer Through Evaluation of Intratumour Heterogeneity at Diagnosis and Circulating Tumour DNA at Recurrence,UNKNOWN,33,2020-11-26,2022-09-01
NCT03900988,"A Randomized, Double Blind, Placebo Controlled Trial of Intravenous N-acetylcysteine and Oseltamivir Versus Intravenous 5% Dextrose and Oseltamivir in Adults Hospitalized With Influenza Complicated by Lower Respiratory Tract Infection.",UNKNOWN,34,2023-05-08,2025-10-31
NCT07622888,"Gastrointestinal Dysfunction, Nutritional Status, and Delirium in the Early Postoperative Period in Oncologic Surgical Patients With Pre-existing Malnutrition: A Prospective Two-Center Observational Cohort Study",NOT_YET_RECRUITING,35,2026-10-01,2028-10-31
NCT00790842,A Phase I/II Study of the Tolerability of Lenalidomide and Low Dose Dexamethasone in Previously Treated Multiple Myeloma Patients With Impaired Renal Function,TERMINATED,36,2009-01-21,2017-09-30
NCT03963427,GoBreast - a Prospective Randomized Trial on Breast Reconstruction Methods,ACTIVE_NOT_RECRUITING,37,2008-03-08,2020-04-01
NCT06215027,Os Efeitos da dança Como Recurso terapêutico em Pacientes Com câncer de Mama Submetidas a Tratamento cirúrgico,RECRUITING,38,2024-02-01,2025-12-10
NCT05398861,"A Single-arm, Prospective, Open-label Phase II Clinical Study of Utidelone Combined With Bevacizumab in the Treatment of ≥ 2 Lines of HER-2 Negative Advanced Breast Cancer",RECRUITING,39,2022-08-19,2026-12-30
NCT02188927,Participation in Screening Colonoscopy in Response to an Advanced Notification Letter Plus Standard Invitation Versus Standard Invitation Only - a Population-based Randomized Controlled Trial,UNKNOWN,40,2014-08,2014-12
NCT00443261,Phase I Study of Azacitidine in Combination With Cisplatin Patients With Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck,TERMINATED,8,2007-02,2008-06
NCT06339242,"A Single-arm, Prospective Clinical Study of Double Dose of Furmonertinib Combined With Lateral Ventricular Chemotherapy in the Treatment of EGFR-mutant Lung Cancer With Leptomeningeal Metastasis After Third-generation EGFR-TKIs Resistance",UNKNOWN,41,2024-01-01,2025-07-01
NCT00168142,MVCT Imaging Pilot Study Using Helical Tomotherapy,COMPLETED,42,2003-10,2008-07
NCT02122042,Hyperbaric Oxygen Therapy Can Improve Cognitive Deficits Post Low Grade Glioma Removal Surgery - Randomized Prospective Trial,UNKNOWN,43,2014-05,2017-05
NCT00954642,"A Phase Ib, Open-Label, Dose-Escalation Study of the Safety and Pharmacology of MNRP1685A, a Human IgG1 Antibody, in Combination With Bevacizumab With or Without Paclitaxel in Patients With Locally Advanced or Metastatic Solid Tumors",COMPLETED,44,2009-08,2011-12
